,To,From,Value,Year,Type
307,Washington,Arizona,2823.0,2021,MOE
308,West Virginia,Arizona,1187.0,2021,MOE
309,Wisconsin,Arizona,1296.0,2021,MOE
310,Wyoming,Arizona,343.0,2021,MOE
311,Puerto Rico,Arizona,254.0,2021,MOE
312,Alabama,Arkansas,1271.0,2021,Estimate
313,Alaska,Arkansas,0.0,2021,Estimate
314,Arizona,Arkansas,178.0,2021,Estimate
315,Arkansas,Arkansas,,2021,Estimate
316,California,Arkansas,2576.0,2021,Estimate
317,Colorado,Arkansas,171.0,2021,Estimate
318,Connecticut,Arkansas,38.0,2021,Estimate
319,Delaware,Arkansas,0.0,2021,Estimate
320,District of Columbia ,Arkansas,37.0,2021,Estimate
321,Florida,Arkansas,4804.0,2021,Estimate
322,Georgia,Arkansas,1236.0,2021,Estimate
323,Hawaii,Arkansas,0.0,2021,Estimate
324,Idaho,Arkansas,0.0,2021,Estimate
325,Illinois,Arkansas,824.0,2021,Estimate
326,Indiana,Arkansas,419.0,2021,Estimate
327,Iowa,Arkansas,358.0,2021,Estimate
328,Kansas,Arkansas,606.0,2021,Estimate
329,Kentucky,Arkansas,442.0,2021,Estimate
330,Louisiana,Arkansas,3313.0,2021,Estimate
331,Maine,Arkansas,90.0,2021,Estimate
332,Maryland,Arkansas,203.0,2021,Estimate
333,Massachusetts,Arkansas,0.0,2021,Estimate
334,Michigan,Arkansas,382.0,2021,Estimate
335,Minnesota,Arkansas,359.0,2021,Estimate
336,Mississippi,Arkansas,2693.0,2021,Estimate
337,Missouri,Arkansas,7506.0,2021,Estimate
338,Montana,Arkansas,185.0,2021,Estimate
339,Nebraska,Arkansas,7.0,2021,Estimate
340,Nevada,Arkansas,226.0,2021,Estimate
341,New Hampshire,Arkansas,0.0,2021,Estimate
342,New Jersey,Arkansas,0.0,2021,Estimate
343,New Mexico,Arkansas,526.0,2021,Estimate
344,New York,Arkansas,1935.0,2021,Estimate
345,North Carolina,Arkansas,3063.0,2021,Estimate
346,North Dakota,Arkansas,0.0,2021,Estimate
347,Ohio,Arkansas,1252.0,2021,Estimate
348,Oklahoma,Arkansas,7390.0,2021,Estimate
349,Oregon,Arkansas,327.0,2021,Estimate
350,Pennsylvania,Arkansas,737.0,2021,Estimate
351,Rhode Island,Arkansas,0.0,2021,Estimate
352,South Carolina,Arkansas,134.0,2021,Estimate
353,South Dakota,Arkansas,0.0,2021,Estimate
354,Tennessee,Arkansas,3161.0,2021,Estimate
355,Texas,Arkansas,13613.0,2021,Estimate
356,Utah,Arkansas,146.0,2021,Estimate
357,Vermont,Arkansas,0.0,2021,Estimate
358,Virginia,Arkansas,742.0,2021,Estimate
359,Washington,Arkansas,782.0,2021,Estimate
360,West Virginia,Arkansas,0.0,2021,Estimate
361,Wisconsin,Arkansas,595.0,2021,Estimate
362,Wyoming,Arkansas,11.0,2021,Estimate
363,Puerto Rico,Arkansas,0.0,2021,Estimate
364,Alabama,Arkansas,943.0,2021,MOE
365,Alaska,Arkansas,184.0,2021,MOE
366,Arizona,Arkansas,157.0,2021,MOE
367,Arkansas,Arkansas,,2021,MOE
368,California,Arkansas,1256.0,2021,MOE
369,Colorado,Arkansas,220.0,2021,MOE
370,Connecticut,Arkansas,64.0,2021,MOE
371,Delaware,Arkansas,210.0,2021,MOE
372,District of Columbia ,Arkansas,75.0,2021,MOE
373,Florida,Arkansas,2217.0,2021,MOE
374,Georgia,Arkansas,830.0,2021,MOE
375,Hawaii,Arkansas,200.0,2021,MOE
376,Idaho,Arkansas,214.0,2021,MOE
377,Illinois,Arkansas,609.0,2021,MOE
378,Indiana,Arkansas,335.0,2021,MOE
379,Iowa,Arkansas,243.0,2021,MOE
380,Kansas,Arkansas,351.0,2021,MOE
381,Kentucky,Arkansas,469.0,2021,MOE
382,Louisiana,Arkansas,1969.0,2021,MOE
383,Maine,Arkansas,140.0,2021,MOE
384,Maryland,Arkansas,264.0,2021,MOE
385,Massachusetts,Arkansas,218.0,2021,MOE
386,Michigan,Arkansas,324.0,2021,MOE
387,Minnesota,Arkansas,308.0,2021,MOE
388,Mississippi,Arkansas,1695.0,2021,MOE
389,Missouri,Arkansas,2023.0,2021,MOE
390,Montana,Arkansas,233.0,2021,MOE
391,Nebraska,Arkansas,12.0,2021,MOE
392,Nevada,Arkansas,226.0,2021,MOE
393,New Hampshire,Arkansas,198.0,2021,MOE
394,New Jersey,Arkansas,222.0,2021,MOE
395,New Mexico,Arkansas,532.0,2021,MOE
396,New York,Arkansas,973.0,2021,MOE
397,North Carolina,Arkansas,1667.0,2021,MOE
398,North Dakota,Arkansas,170.0,2021,MOE
399,Ohio,Arkansas,731.0,2021,MOE
400,Oklahoma,Arkansas,2029.0,2021,MOE
401,Oregon,Arkansas,462.0,2021,MOE
402,Pennsylvania,Arkansas,541.0,2021,MOE
403,Rhode Island,Arkansas,232.0,2021,MOE
404,South Carolina,Arkansas,180.0,2021,MOE
405,South Dakota,Arkansas,170.0,2021,MOE
406,Tennessee,Arkansas,1364.0,2021,MOE
407,Texas,Arkansas,3625.0,2021,MOE
408,Utah,Arkansas,244.0,2021,MOE
409,Vermont,Arkansas,165.0,2021,MOE
410,Virginia,Arkansas,658.0,2021,MOE
411,Washington,Arkansas,889.0,2021,MOE
412,West Virginia,Arkansas,216.0,2021,MOE
413,Wisconsin,Arkansas,653.0,2021,MOE
414,Wyoming,Arkansas,22.0,2021,MOE
415,Puerto Rico,Arkansas,254.0,2021,MOE
416,Alabama,California,3369.0,2021,Estimate
417,Alaska,California,3808.0,2021,Estimate
418,Arizona,California,69432.0,2021,Estimate
419,Arkansas,California,5600.0,2021,Estimate
420,California,California,,2021,Estimate
421,Colorado,California,33648.0,2021,Estimate
422,Connecticut,California,6645.0,2021,Estimate
423,Delaware,California,116.0,2021,Estimate
424,District of Columbia ,California,3945.0,2021,Estimate
425,Florida,California,37464.0,2021,Estimate
426,Georgia,California,28908.0,2021,Estimate
427,Hawaii,California,16116.0,2021,Estimate
428,Idaho,California,27193.0,2021,Estimate
429,Illinois,California,20488.0,2021,Estimate
430,Indiana,California,5705.0,2021,Estimate
431,Iowa,California,5558.0,2021,Estimate
432,Kansas,California,5779.0,2021,Estimate
433,Kentucky,California,2599.0,2021,Estimate
434,Louisiana,California,3430.0,2021,Estimate
435,Maine,California,3349.0,2021,Estimate
436,Maryland,California,8406.0,2021,Estimate
437,Massachusetts,California,15040.0,2021,Estimate
438,Michigan,California,11944.0,2021,Estimate
439,Minnesota,California,5202.0,2021,Estimate
440,Mississippi,California,2259.0,2021,Estimate
441,Missouri,California,13726.0,2021,Estimate
442,Montana,California,6034.0,2021,Estimate
443,Nebraska,California,4798.0,2021,Estimate
444,Nevada,California,62437.0,2021,Estimate
445,New Hampshire,California,2984.0,2021,Estimate
446,New Jersey,California,8629.0,2021,Estimate
447,New Mexico,California,9947.0,2021,Estimate
448,New York,California,31335.0,2021,Estimate
449,North Carolina,California,22507.0,2021,Estimate
450,North Dakota,California,1525.0,2021,Estimate
451,Ohio,California,12849.0,2021,Estimate
452,Oklahoma,California,12613.0,2021,Estimate
453,Oregon,California,51623.0,2021,Estimate
454,Pennsylvania,California,14867.0,2021,Estimate
455,Rhode Island,California,2857.0,2021,Estimate
456,South Carolina,California,11884.0,2021,Estimate
457,South Dakota,California,1670.0,2021,Estimate
458,Tennessee,California,22901.0,2021,Estimate
459,Texas,California,107546.0,2021,Estimate
460,Utah,California,23219.0,2021,Estimate
461,Vermont,California,1043.0,2021,Estimate
462,Virginia,California,21052.0,2021,Estimate
463,Washington,California,57576.0,2021,Estimate
464,West Virginia,California,368.0,2021,Estimate
465,Wisconsin,California,6467.0,2021,Estimate
466,Wyoming,California,2605.0,2021,Estimate
467,Puerto Rico,California,305.0,2021,Estimate
468,Alabama,California,1420.0,2021,MOE
469,Alaska,California,1838.0,2021,MOE
470,Arizona,California,6220.0,2021,MOE
471,Arkansas,California,1762.0,2021,MOE
472,California,California,,2021,MOE
473,Colorado,California,5763.0,2021,MOE
474,Connecticut,California,2514.0,2021,MOE
475,Delaware,California,186.0,2021,MOE
476,District of Columbia ,California,1308.0,2021,MOE
477,Florida,California,6348.0,2021,MOE
478,Georgia,California,5194.0,2021,MOE
479,Hawaii,California,2962.0,2021,MOE
480,Idaho,California,6571.0,2021,MOE
481,Illinois,California,3123.0,2021,MOE
482,Indiana,California,1553.0,2021,MOE
483,Iowa,California,1797.0,2021,MOE
484,Kansas,California,1788.0,2021,MOE
485,Kentucky,California,946.0,2021,MOE
486,Louisiana,California,1292.0,2021,MOE
487,Maine,California,1527.0,2021,MOE
488,Maryland,California,3555.0,2021,MOE
489,Massachusetts,California,3313.0,2021,MOE
490,Michigan,California,2146.0,2021,MOE
491,Minnesota,California,1468.0,2021,MOE
492,Mississippi,California,1366.0,2021,MOE
493,Missouri,California,2851.0,2021,MOE
494,Montana,California,2042.0,2021,MOE
495,Nebraska,California,1871.0,2021,MOE
496,Nevada,California,8539.0,2021,MOE
497,New Hampshire,California,1415.0,2021,MOE
498,New Jersey,California,2236.0,2021,MOE
499,New Mexico,California,2578.0,2021,MOE
500,New York,California,4439.0,2021,MOE
501,North Carolina,California,4137.0,2021,MOE
502,North Dakota,California,819.0,2021,MOE
503,Ohio,California,2918.0,2021,MOE
504,Oklahoma,California,2962.0,2021,MOE
505,Oregon,California,5913.0,2021,MOE
506,Pennsylvania,California,3004.0,2021,MOE
507,Rhode Island,California,1118.0,2021,MOE
508,South Carolina,California,3404.0,2021,MOE
509,South Dakota,California,943.0,2021,MOE
510,Tennessee,California,4651.0,2021,MOE
511,Texas,California,9974.0,2021,MOE
512,Utah,California,4550.0,2021,MOE
513,Vermont,California,492.0,2021,MOE
514,Virginia,California,4256.0,2021,MOE
515,Washington,California,6607.0,2021,MOE
516,West Virginia,California,379.0,2021,MOE
517,Wisconsin,California,1996.0,2021,MOE
518,Wyoming,California,1132.0,2021,MOE
519,Puerto Rico,California,373.0,2021,MOE
520,Alabama,Colorado,2070.0,2021,Estimate
521,Alaska,Colorado,922.0,2021,Estimate
522,Arizona,Colorado,10035.0,2021,Estimate
523,Arkansas,Colorado,4353.0,2021,Estimate
524,California,Colorado,20353.0,2021,Estimate
525,Colorado,Colorado,,2021,Estimate
526,Connecticut,Colorado,1181.0,2021,Estimate
527,Delaware,Colorado,239.0,2021,Estimate
528,District of Columbia ,Colorado,261.0,2021,Estimate
529,Florida,Colorado,18468.0,2021,Estimate
530,Georgia,Colorado,5259.0,2021,Estimate
531,Hawaii,Colorado,2544.0,2021,Estimate
532,Idaho,Colorado,6211.0,2021,Estimate
533,Illinois,Colorado,6060.0,2021,Estimate
534,Indiana,Colorado,1723.0,2021,Estimate
535,Iowa,Colorado,4328.0,2021,Estimate
536,Kansas,Colorado,7949.0,2021,Estimate
537,Kentucky,Colorado,3223.0,2021,Estimate
538,Louisiana,Colorado,1844.0,2021,Estimate
539,Maine,Colorado,1229.0,2021,Estimate
540,Maryland,Colorado,2776.0,2021,Estimate
541,Massachusetts,Colorado,2756.0,2021,Estimate
542,Michigan,Colorado,4890.0,2021,Estimate
543,Minnesota,Colorado,5148.0,2021,Estimate
544,Mississippi,Colorado,1143.0,2021,Estimate
545,Missouri,Colorado,5441.0,2021,Estimate
546,Montana,Colorado,4389.0,2021,Estimate
547,Nebraska,Colorado,2940.0,2021,Estimate
548,Nevada,Colorado,4875.0,2021,Estimate
549,New Hampshire,Colorado,668.0,2021,Estimate
550,New Jersey,Colorado,4712.0,2021,Estimate
551,New Mexico,Colorado,8806.0,2021,Estimate
552,New York,Colorado,6112.0,2021,Estimate
553,North Carolina,Colorado,6549.0,2021,Estimate
554,North Dakota,Colorado,922.0,2021,Estimate
555,Ohio,Colorado,2726.0,2021,Estimate
556,Oklahoma,Colorado,5189.0,2021,Estimate
557,Oregon,Colorado,3850.0,2021,Estimate
558,Pennsylvania,Colorado,4692.0,2021,Estimate
559,Rhode Island,Colorado,610.0,2021,Estimate
560,South Carolina,Colorado,3873.0,2021,Estimate
561,South Dakota,Colorado,1977.0,2021,Estimate
562,Tennessee,Colorado,5383.0,2021,Estimate
563,Texas,Colorado,30262.0,2021,Estimate
564,Utah,Colorado,3712.0,2021,Estimate
565,Vermont,Colorado,587.0,2021,Estimate
566,Virginia,Colorado,5002.0,2021,Estimate
567,Washington,Colorado,7452.0,2021,Estimate
568,West Virginia,Colorado,49.0,2021,Estimate
569,Wisconsin,Colorado,4412.0,2021,Estimate
570,Wyoming,Colorado,6022.0,2021,Estimate
571,Puerto Rico,Colorado,0.0,2021,Estimate
572,Alabama,Colorado,1081.0,2021,MOE
573,Alaska,Colorado,630.0,2021,MOE
574,Arizona,Colorado,2010.0,2021,MOE
575,Arkansas,Colorado,1940.0,2021,MOE
576,California,Colorado,3410.0,2021,MOE
577,Colorado,Colorado,,2021,MOE
