,To,From,Value,Year,Type
414,Wyoming,Arkansas,269.0,2010,MOE
415,Puerto Rico,Arkansas,285.0,2010,MOE
416,Alabama,California,3827.0,2010,Estimate
417,Alaska,California,3906.0,2010,Estimate
418,Arizona,California,47164.0,2010,Estimate
419,Arkansas,California,4457.0,2010,Estimate
420,California,California,,2010,Estimate
421,Colorado,California,26089.0,2010,Estimate
422,Connecticut,California,4479.0,2010,Estimate
423,Delaware,California,353.0,2010,Estimate
424,District of Columbia ,California,4205.0,2010,Estimate
425,Florida,California,22130.0,2010,Estimate
426,Georgia,California,8909.0,2010,Estimate
427,Hawaii,California,12677.0,2010,Estimate
428,Idaho,California,8932.0,2010,Estimate
429,Illinois,California,16205.0,2010,Estimate
430,Indiana,California,8959.0,2010,Estimate
431,Iowa,California,2847.0,2010,Estimate
432,Kansas,California,6125.0,2010,Estimate
433,Kentucky,California,3779.0,2010,Estimate
434,Louisiana,California,5751.0,2010,Estimate
435,Maine,California,1066.0,2010,Estimate
436,Maryland,California,8206.0,2010,Estimate
437,Massachusetts,California,14971.0,2010,Estimate
438,Michigan,California,6726.0,2010,Estimate
439,Minnesota,California,6233.0,2010,Estimate
440,Mississippi,California,3000.0,2010,Estimate
441,Missouri,California,9840.0,2010,Estimate
442,Montana,California,5756.0,2010,Estimate
443,Nebraska,California,4430.0,2010,Estimate
444,Nevada,California,35472.0,2010,Estimate
445,New Hampshire,California,1692.0,2010,Estimate
446,New Jersey,California,8777.0,2010,Estimate
447,New Mexico,California,6547.0,2010,Estimate
448,New York,California,25177.0,2010,Estimate
449,North Carolina,California,16699.0,2010,Estimate
450,North Dakota,California,1411.0,2010,Estimate
451,Ohio,California,8997.0,2010,Estimate
452,Oklahoma,California,9429.0,2010,Estimate
453,Oregon,California,34190.0,2010,Estimate
454,Pennsylvania,California,12077.0,2010,Estimate
455,Rhode Island,California,1697.0,2010,Estimate
456,South Carolina,California,4691.0,2010,Estimate
457,South Dakota,California,1338.0,2010,Estimate
458,Tennessee,California,8019.0,2010,Estimate
459,Texas,California,68959.0,2010,Estimate
460,Utah,California,12187.0,2010,Estimate
461,Vermont,California,1001.0,2010,Estimate
462,Virginia,California,17088.0,2010,Estimate
463,Washington,California,39468.0,2010,Estimate
464,West Virginia,California,760.0,2010,Estimate
465,Wisconsin,California,4506.0,2010,Estimate
466,Wyoming,California,2784.0,2010,Estimate
467,Puerto Rico,California,1177.0,2010,Estimate
468,Alabama,California,1660.0,2010,MOE
469,Alaska,California,1041.0,2010,MOE
470,Arizona,California,6018.0,2010,MOE
471,Arkansas,California,1991.0,2010,MOE
472,California,California,,2010,MOE
473,Colorado,California,4183.0,2010,MOE
474,Connecticut,California,1653.0,2010,MOE
475,Delaware,California,290.0,2010,MOE
476,District of Columbia ,California,1255.0,2010,MOE
477,Florida,California,3867.0,2010,MOE
478,Georgia,California,2412.0,2010,MOE
479,Hawaii,California,2325.0,2010,MOE
